TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source
E000017.001,,,,,Thomas Clarkson,,,,,,,120300,5545,,,United Kingdom of Great Britain and Ireland,,,Thomas Clarkson by Carl Frederik von Breda.jpg,,,"writer, politician, abolitionist",Suffolk,,,Anglicanism,male,,,Thomas Clarkson,,,,,,"Clarkson, Thomas",,1786,An essay on the slavery and commerce of the human species,,,Liberty Fund
E000018.001,,,,,John Cleland,,,,,,,170218,5595,,,Great Britain,,,,,,"writer, novelist",St Margaret Lothbury,,,,male,,,John Cleland,,,,,,"Cleland, John",,1749,Memoirs of a woman of pleasure,,,Gutenberg
E000019.001,,,,,William Wordsworth,,,mysticism,,The Prelude,,51644,29973,,pneumonia,"United Kingdom of Great Britain and Ireland, Great Britain",,English people,Wordsworth on Helvellyn by Benjamin Robert Haydon.jpg,,English,"poet, lyricist, writer","St Oswald's Church, Grasmere",,Poet Laureate of the United Kingdom,Anglicanism,male,"Mary Hutchinson, Annette Vallon",Annette Vallon,Samuel Taylor Coleridge,William Wordsworth,,,,,"Coleridge, Samuel Taylor and William Wordsworth",,1798,"Lyrical ballads, with a few other peoms",,,Gutenberg
E000020.001,,,,,Jean-Antoine-Nicolas de Caritat de Condorcet,mathematics,,,,Esquisse d'un tableau historique des progrès de l'esprit humain,,151955,,,intoxication,France,,,Nicolas de Condorcet.PNG,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",French,"philosopher, mathematician, economist, politician, political scientist, sociologist, writer, biographer",Panthéon,Girondists,"member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,male,"Sophie de Condorcet, Sophie de Grouchy",,Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",,1790,On the admission of women to the rights of citizenship,,,Liberty Fund
E000021.001,,,,,Jean-Antoine-Nicolas de Caritat de Condorcet,mathematics,,,,Esquisse d'un tableau historique des progrès de l'esprit humain,,151955,,,intoxication,France,,,Nicolas de Condorcet.PNG,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",French,"philosopher, mathematician, economist, politician, political scientist, sociologist, writer, biographer",Panthéon,Girondists,"member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,male,"Sophie de Condorcet, Sophie de Grouchy",,Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",,1795,Outlines of an historical view of the progress of the human mind,,,Liberty Fund
E000022.001,,,,,Erasmus Darwin,"medicine, botany, biology, poetry",,,,,,68143,7177,,,United Kingdom of Great Britain and Ireland,,,Portrait of Erasmus Darwin by Joseph Wright of Derby (1792).jpg,Royal Society,,"biologist, physician, botanist, physician writer, philosopher, entomologist, poet, physiologist, naturalist",,,,,male,"Mary Howard, Elizabeth Colyear","Mary Parker, Lucy Swift",Erasmus Darwin,,,,,,"Darwin, Erasmus",,1798,A plan of conduct for female education,,,TCP
E000023.001,,,,,Denis Diderot,performing arts,"Encyclopédistes, materialism",,,Jacques the Fatalist,"Aristotelis, Benedictus de Spinoza, Voltaire",25247,,4aa9616b-6b6c-429b-8077-0e4e0d61316f,,"Kingdom of France, France",,French people,Louis-Michel van Loo 001.jpg,"Royal Prussian Academy of Sciences, Russian Academy of Sciences, Saint Petersburg Academy of Sciences",French,"philosopher, novelist, essayist, Encyclopédistes, art critic, playwright, literary critic, correspondent, translator, historian, political scientist, lexicographer",Saint-Roch,,,atheist,male,Anne-Antoinette Diderot,,Denis Diderot,,,,,,"Diderot, Denis",,1749,Les Bijoux Indiscrets,,,Gutenberg
E000024.001,,,,,John Dryden,,,,,"The Wild Gallant, Essay of Dramatick Poesie",,25715,8108,,,Kingdom of England,,English people,"John Dryden (Richardson, c. 1730s).jpg",Royal Society,,"playwright, translator, poet, writer, literary critic, hymnwriter",Westminster Abbey,,Poet Laureate of the United Kingdom,Catholic Church,male,"Lady Elizabeth Howard, Lady Elizabeth Howard",,John Dryden,,,,,,"Dryden, John",,NA,The poetical works,,,Gutenberg
E000024.002,,,,,John Dryden,,,,,"The Wild Gallant, Essay of Dramatick Poesie",,25715,8108,,,Kingdom of England,,English people,"John Dryden (Richardson, c. 1730s).jpg",Royal Society,,"playwright, translator, poet, writer, literary critic, hymnwriter",Westminster Abbey,,Poet Laureate of the United Kingdom,Catholic Church,male,"Lady Elizabeth Howard, Lady Elizabeth Howard",,John Dryden,,,,,,"Dryden, John",,NA,The poetical works,,,Gutenberg
E000025.001,,,,,Maria Edgeworth,essay,,,,"Belinda, Castle Rackrent, Comic Dramas, in Three Acts, Early Lessons, Essay on Irish Bulls, Frank: a Sequel to Frank in Early Lessons, Harrington, a Tale; and Ormond, a Tale, Harry and Lucy Concluded, Leonora, Letters for Literary Ladies, Moral Tales for Young People, Moral Tales, Patronage, Popular Tales, Practical Education, Readings on Poetry, Tales and Novels by Maria Edgeworth, Ormond, The Absentee, Tales of Fashionable Life, The Contrast, The Modern Griselda; a Tale, The Parent's Assistant, Tomorrow; or the Dangers of Delay, Works of Maria Edgeworth",,26159,8476,f518f16e-be58-467e-b47d-cd96b17eb772,,Ireland,,,Maria Edgeworth by John Downman 1807.jpg,,,"writer, essayist, novelist, children's writer",,,,,female,,,Maria Edgeworth,,,,,,"Edgeworth, Maria",,1801,Belinda,,,Gutenberg
