DocName,FileName,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance
K046182.000,K046182.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1797.0,A third letter to a Member of the present Parliament: on the proposals for peace with the regicide directory of France. By the late Right Hon. Edmund Burke.,,174.0,,38215,5377,0.14070391207640978
K046226.000,K046226.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1800.0,"Thoughts and details on scarcity: originally presented to the Right Hon. William Pit, in the month of November, 1795. By the late ... Edmund Burke.",,64.0,,13759,2800,0.20350316156697434
K046227.000,K046227.000.txt,,,,Free,Ottobah Cugoano,,,,,Thoughts And Sentiments On The Evil & Wicked Traffic Of The Slavery & Commerce Of The Human Species,,,59531.0,,,,,,"Richard and Maria Cosway, and Ottobah Cugoano 1784 (cropped) (cropped).jpg",Sons of Africa,,"writer, domestic worker, abolitionist",,,,,male,,,Ottobah Cugoano,,,,,,"Cugoano, Ottobah.",1.0,1787.0,"Thoughts and sentiments on the evil and wicked traffic of the slavery: and commerce of the human species, humbly submitted to the inhabitants of Great Britain, by Ottobah Cugoano, ...",,154.0,,45261,4622,0.10211882194383685
K046245.000,K046245.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1770.0,Thoughts on the cause of the present discontents,,62.0,,30499,4157,0.13629955080494444
K046275.000,K046275.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1796.0,Thoughts on the prospect of a regicide peace: in a series of letters.,,136.0,,30653,4567,0.14899031089942258
K046304.000,K046304.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1797.0,"Three memorials on French affairs: Written in the years 1791, 1792 and 1793. By the late Right Hon. Edmund Burke.",,243.0,,53933,5944,0.11021081712495133
K046334.000,K046334.000.txt,,,,Free,Charles Churchill,,,,,,,132693,5397.0,,disease,Great Britain,,,Charles Churchill (satirist).jpg,,English,"poet, writer",,,,,male,,,Charles Churchill,,,,,,"Churchill, Charles, 1731-1764.",1.0,1764.0,The times: A poem. By [blank],,34.0,,5712,1775,0.31074929971988796
K046340.000,K046340.000.txt,,,,Free,Richard Cumberland,,,,,,,24170,6888.0,8c546a9b-e98a-4bee-87a8-dfd815b4c1e4,,United Kingdom of Great Britain and Ireland,,,"Richard Cumberland, dramatist.jpg",,,"writer, playwright, novelist, essayist",Westminster Abbey,,,,male,Elizabeth Ridge,,Richard Cumberland,William Shakespeare,,,,,"Cumberland, Richard, 1732-1811.; Shakespeare, William, 1564-1616.",2.0,1772.0,"Timon of Athens: altered from Shakespeare, a tragedy. As it is acted at the Theater Royal in Drury Lane.",,59.0,,14465,2825,0.1952989975803664
K046486.000,K046486.000.txt,,,,Free,Thomas Warton,,,,,,,155414,28799.0,,,Great Britain,University of Oxford,,Thomaswarton.jpg,,,"writer, poet, historian, literary critic, literary historian",,,Poet Laureate of the United Kingdom,Anglicanism,male,,,Thomas Warton,,,,,,"Warton, Thomas, 1728-1790.",1.0,1782.0,Verses on Sir Joshua Reynolds's painted window at New-College Oxford,,10.0,,816,501,0.6139705882352942
K046497.000,K046497.000.txt,,,,Free,Henry Jones,,,,,,,209822,15012.0,,,,,,,,,"poet, playwright",,,,,male,,,Henry Jones,,,,,,"Jones, Henry, 1721-1770.",1.0,1754.0,"Verses to His Grace the Duke of Newcastle, on the death of the Right Honorable Henry Pelham: By Henry Jones, ...",,11.0,,1222,634,0.5188216039279869
